Year,Year_catch,Annual_landing_day
1934,60913 ,5879 
1935,72294 ,6295 
1936,78353 ,6771 
1937,91552 ,8223 
1938,78288 ,6830 
1939,110418 ,10488 
1940,114590 ,10801 
1941,76841 ,9584 
1942,41965 ,5961 
1943,50058 ,5930 
1944,64869 ,6475 
1945,89194 ,9377 
1946,127701 ,13958 
1947,160151 ,20383 
1948,206993 ,24781 
1949,200070 ,24923 
1950,224810 ,31856 
1951,186015 ,18403 
1952,195227 ,34834 
1953,140042 ,36356 
1954,140033 ,26288 
1955,140865 ,17198 
1956,117026 ,27205 
1957,163020 ,26769 
1958,148450 ,31135 
1959,140484 ,28198 
1960,244331 ,35841 
1961,230886 ,41646 
1962,174063 ,42248 
1963,145469 ,33303 
1964,203882 ,42090 
1965,180086 ,43228 
1966,182294 ,40393 
1967,178944 ,33814 